Agent Name,Agent Address,Agent City,FY 18 Net Sales
MR MIKE'S #323,6 GARDNER RD,ASHBURNHAM,"$16,550.00"
ASHBURNHAM MARKET PLACE,50 REAR MAIN ST,ASHBURNHAM,"$102,450.25"
AMER LEGION POST 142,132 WILLIAMS ROAD,ASHBURNHAM,"$111,047.00"
TURNPIKE ROD & GUN CLUB,94 COREY HILL RD,ASHBURNHAM,"$129,054.00"
ASHBURNHAM HARDWARE,41 MAIN STREET,ASHBURNHAM,"$137,229.00"
ASHBURNHAM WINE & SPIRITS,3 MEMORIAL DR,ASHBURNHAM,"$146,774.75"
TWEEDOS VARIETY,3 DUNN RD,ASHBURNHAM,"$179,453.50"
COUNTRYLAND MINI MART,67 MAIN STREET,ASHBURNHAM,"$1,105,003.00"
ASHBY MARKET,MAIN ST,ASHBY,"$53,893.75"
CONVENIENT MART,1274 MAIN STREET,ASHBY,"$749,568.00"
NEIGHBORS,244 MAIN ST,ASHFIELD,"$313,258.50"
RITE AID 10099,399 UNION ST,ASHLAND,"$9,158.75"
RITE AID 10098,339 POND ST,ASHLAND,"$17,900.00"
BURNAMS SUPPER HOUSE,366 PLEASANT ST,ASHLAND,"$21,591.00"
RITE AID 10099,399 UNION STREET,ASHLAND,"$26,749.50"
RITE AID 10098,339 POND STREET,ASHLAND,"$39,027.50"
SUNNYSIDE LIQUORS,7 POND ST,ASHLAND,"$45,116.00"
CVS  ATTN:  LOTTERY,47 POND ST,ASHLAND,"$49,284.00"
BRASIL AMERICAN CONV,21 HOMER AVE,ASHLAND,"$95,078.00"
ASHLAND FISH & GAME,3 PONDEROSA RD,ASHLAND,"$164,839.00"
AMERICAN LEGION,40 SUMMER ST,ASHLAND,"$177,566.50"
MARATHON MOBIL,103 WEST UNION ST,ASHLAND,"$193,834.75"
ALLTOWN #2724,272 POND ST,ASHLAND,"$228,774.00"
ASHLAND SHELL #74,123 UNION ST,ASHLAND,"$271,894.75"
HANTO,380 UNION ST,ASHLAND,"$320,767.50"
SUNNYSIDE LIQUORS,7 POND STREET,ASHLAND,"$322,115.50"
MARKET BASKET #46,49 POND ST,ASHLAND,"$340,496.50"
ASHLAND PUBLIC MARKET,197 MAIN ST,ASHLAND,"$361,752.50"
CHE'S LIQUORS,300 ELIOT ST,ASHLAND,"$399,415.50"
SPEEDWAY #2449,196 POND ST,ASHLAND,"$404,914.25"
EXXCEL OIL,119 POND ST,ASHLAND,"$417,096.50"
FARMER'S RAM MARKET,5 HOMER AVE,ASHLAND,"$446,271.50"
ASHLAND MEMORIAL ASSN,311 PLEASANT ST,ASHLAND,"$551,585.50"
ASHLAND ALE HOUSE,23 POND STREET RT 126,ASHLAND,"$555,058.00"
SHAWS 1419,301 POND ST,ASHLAND,"$614,802.25"
CHERRY BLOSSOM,80 UNION ST,ASHLAND,"$736,067.00"
TJS FOOD/SPIRITS,355 W UNION ST. RT-135,ASHLAND,"$1,486,436.00"
LUCKY FARMS,1 WEST UNION ST,ASHLAND,"$2,042,053.50"
E-Z CONVENIENT FOOD,69 POND ST,ASHLAND,"$2,431,248.75"
ASHLAND CONV STORE,72 UNION ST RT 135,ASHLAND,"$2,614,768.00"
GRANDPAS PLACE,9 S MAIN ST,ASSONET,"$964,219.75"
JUNIOR'S CONVIENCE STORE,58 S MAIN ST,ASSONET,"$1,033,767.75"
CIRCLE K #7516,68 S MAIN ST,ASSONET,"$2,352,513.50"
RITE AID 10075,1640 S MAIN ST,ATHOL,"$15,555.75"
RITE AID 10075,1640 S MAIN ST,ATHOL,"$34,859.00"
STAN'S LIQUOR MART,1586 SOUTH MAIN ST RT2A,ATHOL,"$296,011.50"
MARKET BASKET #78,1125 TEMPLETON RD,ATHOL,"$367,943.50"
HANNAFORD #8385,150 NEW ATHOL RD,ATHOL,"$429,445.25"
UPTOWN PACKAGE,174 MARKET ST,ATHOL,"$431,490.00"
ATHOL GENERAL STORE,390 CRESCENT ST,ATHOL,"$468,617.75"
CONWAY PETRO,1590 MAIN STREET,ATHOL,"$619,408.00"
THE STEEL PUB,11 EXCHANGE STREET,ATHOL,"$621,709.50"
MR MIKE'S #310,2143 MAIN ST,ATHOL,"$732,706.25"
ATHOL SPIRITS,11 TUNNEL ST,ATHOL,"$821,958.00"
CORNER STORE,229 PINEDALE AVE,ATHOL,"$885,403.75"
CUMBERLAND #6688,297 MAIN ST,ATHOL,"$1,294,167.25"
CUMBERLAND #6706,1304 SO MAIN STREET,ATHOL,"$1,513,497.50"
LARRY'S VARIETY,1503 MAIN ST,ATHOL,"$2,217,206.25"
COUNTRY CONVENIENCE,49 S MAIN ST,ATHOL,"$2,322,526.00"
RITE AID 10195,1099 WASHINGTON ST,ATTLEBORO,"$25,765.50"
TWIN LIQUORS,827 S MAIN ST,ATTLEBORO,"$37,023.50"
MR JACK'S WINES & SPIRITS,1190 NEWPORT AVE,ATTLEBORO,"$58,491.00"
PLEASANT AUTO CENTER,676 PLEASANT ST,ATTLEBORO,"$65,001.25"
SAKURA,809 WASHINGTON STREET,ATTLEBORO,"$70,828.00"
RITE AID 10195,1099 WASHINGTON ST,ATTLEBORO,"$71,064.00"
BPO ELKS #1014,887 SO MAIN ST,ATTLEBORO,"$72,103.00"
BAY STATE CHECK EXPRESS,1037 WASHINGTON ST,ATTLEBORO,"$90,758.25"
CASSEYS GRIDIRON SPORTS,220 ONEIL BLVD,ATTLEBORO,"$107,989.00"
ELLY CONV STR & SMOKE,185 PLEASANT STREET,ATTLEBORO,"$130,066.25"
NGM GAS,584 WASHINGTON STREET,ATTLEBORO,"$132,593.25"
RICHDALE SUPERETTE,110 N MAIN STREET,ATTLEBORO,"$134,673.25"
ATTLEBORO SHELL,182 PLEASANT ST,ATTLEBORO,"$151,667.25"
NAP'S PACKAGE STORE,267 PARK ST,ATTLEBORO,"$152,199.00"
CITY SPIRITS II,524 PLEASANT STREET,ATTLEBORO,"$164,751.75"
CITY SPIRITS,74 PARK ST,ATTLEBORO,"$174,009.75"
ATTLEBORO MOOSE LODG,241 THACHER ST,ATTLEBORO,"$181,242.50"
COUNTY SQUARE BEVERAGE,412 THACHER ST,ATTLEBORO,"$182,147.00"
JR'S BAR & GRILL,147 PINE ST,ATTLEBORO,"$185,122.00"
LIQUOR MART,15 HIGHLAND AVE,ATTLEBORO,"$199,615.00"
CUMBERLAND #0223,220 PLEASANT STREET,ATTLEBORO,"$210,569.25"
BROTHERS LIQUOR & MARKET,193 PINE STREET,ATTLEBORO,"$259,670.00"
ETC LOUNGE,173 WESTMINSTER ST,ATTLEBORO,"$261,030.50"
MOBIL GAS,1249 NEWPORT AVE,ATTLEBORO,"$282,019.25"
TWIN LIQUORS,827 SOUTH MAIN STREET,ATTLEBORO,"$318,672.25"
SEABRA FOODS,217 SOUTH MAIN ST,ATTLEBORO,"$367,667.75"
MARKET BASKET #76,1200 NEWPORT AVE,ATTLEBORO,"$421,961.00"
SPEEDWAY #2433,946 WASHINGTON ST,ATTLEBORO,"$432,624.50"
MUTUAL MART,19 PLEASANT STREET,ATTLEBORO,"$462,144.25"
JOE'S MARKET,245A S MAIN STREET,ATTLEBORO,"$508,790.25"
PLEASANT ST BAR & GRILL,50 PLEASANT ST,ATTLEBORO,"$562,301.50"
STOP & SHOP #432,467 PLEASANT ST,ATTLEBORO,"$651,865.50"
SINGAPORE CHINESE RESTAURANT,111 PLEASANT STREET,ATTLEBORO,"$740,204.00"
DODGEVILLE COUNTRY STORE,408 S MAIN ST,ATTLEBORO,"$762,007.50"
ROUTE 1 GAS,765 WASHINGTON ST,ATTLEBORO,"$828,406.50"
TRIPLE PLAY MOBIL,106 WASHINGTON ST,ATTLEBORO,"$843,353.50"
SUN MARKET,9 UNION ST,ATTLEBORO,"$852,748.00"
CUMBERLAND #0135,1128 OAKHILL AVE,ATTLEBORO,"$862,856.00"
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$914,785.00"
CUMBERLAND #0049,290 COUNTY ST,ATTLEBORO,"$1,013,003.50"
CUMBERLAND #0144,80 COUNTY & WALL ST,ATTLEBORO,"$1,034,205.25"
BRIGGS CORNER STORE,1503 PARK ST,ATTLEBORO,"$1,195,199.25"
NOURIA #4002,227 SOUTH AVE,ATTLEBORO,"$1,304,032.50"
RICHDALE CONVENIENCE,110 NORTH MAIN STREET,ATTLEBORO,"$1,342,831.00"
CUMBERLAND #6771,633 WASHINGTON ST,ATTLEBORO,"$1,495,802.50"
GAS PLUS,80 PLEASANT ST,ATTLEBORO,"$1,798,924.00"
ATTLEBORO CONVENIENCE,850 WASHINGTON STREET,ATTLEBORO,"$2,150,192.25"
DAIRY CAROUSEL,220 S MAIN ST,ATTLEBORO,"$2,812,325.50"
BORDER BETS & BUTTS,661 WASHINGTON ST,ATTLEBORO,"$3,105,790.25"
SOUTH SIDE VARIETY,173B WESTMINSTER ST,ATTLEBORO,"$6,684,926.75"
GRAFTON STREET CONVENIENCE,860 SOUTHBRIDGE STREET,AUBURN,"$77,586.25"
HALLIGAN'S ROYAL LOUNGE,889 SOUTHBRIDGE ST,AUBURN,"$151,836.25"
BJ'S WHOLESALE #38,777 WASHINGTON ST,AUBURN,"$163,248.75"
COLONY FARMS,710 SOUTHBRIDGE ST,AUBURN,"$164,477.00"
CHUCK'S STEAK HOUSE,10 PROSPECT ST,AUBURN,"$167,623.00"
AUBURN ELKS,754 SOUTHBRIDGE ST,AUBURN,"$197,300.00"
MASS DISCOUNT LIQUORS,844 SOUTHBRIDGE ST,AUBURN,"$203,136.50"
COLONY LIQUORS & WINE,683 SOUTHBRIDGE ST,AUBURN,"$300,217.00"
NOURIA #4003,611 SOUTHBRIDGE ST,AUBURN,"$384,601.00"
AUBURN SHELL,712 SOUTHBRIDGE ST,AUBURN,"$400,982.25"
V & D VARIETY,143 N OXFORD ST,AUBURN,"$493,452.75"
